"Line","Group","Artifact","Version","Scope","URL","Licenses"
"berlin.yuna:typemap:2025.0.12","berlin.yuna","typemap","2025.0.12","compile","https://github.com/YunaBraska/typemap","Apache License 2.0"
"com.fasterxml.jackson.core:jacksonannotations:2.18.3","com.fasterxml.jackson.core","jacksonannotations","2.18.3","compile","https://github.com/FasterXML/jackson","Apache License 2.0"
"com.fasterxml.jackson.core:jacksoncore:2.18.3","com.fasterxml.jackson.core","jacksoncore","2.18.3","compile","https://github.com/FasterXML/jacksoncore","Apache License 2.0"
"com.fasterxml.jackson.core:jacksondatabind:2.18.3","com.fasterxml.jackson.core","jacksondatabind","2.18.3","compile","https://github.com/FasterXML/jackson","Apache License 2.0"
"com.fasterxml.jackson.dataformat:jacksondataformat-yaml:2.18.3","com.fasterxml.jackson.dataformat","jacksondataformatyaml","2.18.3","compile","https://github.com/FasterXML/jacksondataformats-text","Apache License 2.0"
"com.fasterxml.jackson.datatype:jacksondatatype-jsr310:2.18.2","com.fasterxml.jackson.datatype","jacksondatatypejsr310","2.18.2","compile","https://github.com/FasterXML/jacksonmodules-java8/jackson-datatype-jsr310","Apache License 2.0"
"com.github.javajson-tools:btf:1.3","com.github.javajsontools","btf","1.3","compile","https://github.com/javajson-tools/btf","Apache License 2.0;LGPL 3"
"com.github.javajson-tools:jackson-coreutils:2.0","com.github.javajsontools","jacksoncoreutils","2.0","compile","https://github.com/javajson-tools/jackson-coreutils","Apache License 2.0;LGPL 3"
"com.github.javajson-tools:jackson-coreutils-equivalence:1.0","com.github.javajsontools","jacksoncoreutils-equivalence","1.0","compile","https://github.com/javajson-tools/jackson-coreutils","Apache License 2.0;LGPL 3"
"com.github.javajson-tools:json-patch:1.13","com.github.javajsontools","jsonpatch","1.13","compile","https://github.com/javajson-tools/json-patch","Apache License 2.0;LGPL 3"
"com.github.javajson-tools:json-schema-core:1.2.14","com.github.javajsontools","jsonschema-core","1.2.14","compile","https://github.com/javajson-tools/json-schema-core","Apache License 2.0;LGPL 3"
"com.github.javajson-tools:json-schema-validator:2.2.14","com.github.javajsontools","jsonschema-validator","2.2.14","compile","https://github.com/javajson-tools/json-schema-validator","Apache License 2.0;LGPL 3"
"com.github.javajson-tools:msg-simple:1.2","com.github.javajsontools","msgsimple","1.2","compile","https://github.com/javajson-tools/msg-simple","Apache License 2.0;LGPL 3"
"com.github.javajson-tools:uri-template:0.10","com.github.javajsontools","uritemplate","0.10","compile","https://github.com/javajson-tools/uri-template","Apache License 2.0;LGPL 3"
"com.sun.istack:istackcommons-runtime:4.1.2","com.sun.istack","istackcommonsruntime","4.1.2","compile","https://projects.eclipse.org/projects/ee4j/istackcommons/istack-commons-runtime","EDL 1.0"
"commonsio:commons-io:2.18.0","commonsio","commonsio","2.18.0","compile","https://commons.apache.org/proper/commonsio/","Apache 2.0"
"commonslogging:commons-logging:1.1.1","commonslogging","commonslogging","1.1.1","compile","http://commons.apache.org/logging","Apache License 2.0"
"io.swagger:swaggercompat-spec-parser:1.0.73","io.swagger","swaggercompatspec-parser","1.0.73","compile","http://nexus.sonatype.org/ossrepository-hosting.html/swagger-parser-project/modules/swagger-compat-spec-parser","Apache License 2.0"
"io.swagger:swaggercore:1.6.15","io.swagger","swaggercore","1.6.15","compile","https://github.com/swaggerapi/swagger-core/modules/swagger-core","Apache License 2.0"
"io.swagger:swaggermodels:1.6.15","io.swagger","swaggermodels","1.6.15","compile","https://github.com/swaggerapi/swagger-core/modules/swagger-models","Apache License 2.0"
